fact_id,scenario_id,topic,component,grain,time_label,metric,value,unit,category,aggregation,data_flag
LQH-F-00013,DEMO-LQH-01-004,综合态势,人车数量统计,固定,固定展示值,访客,83,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00014,DEMO-LQH-01-004,综合态势,人车数量统计,固定,固定展示值,车辆总数,8039,辆,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00015,DEMO-LQH-01-005,综合态势,智能预警统计,固定,固定展示值,已处理,648,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00016,DEMO-LQH-01-006,综合态势,会议室使用率,固定,固定展示值,使用中,1120,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00017,DEMO-LQH-01-007,综合态势,人车数量统计,固定,固定展示值,员工,30256,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00018,DEMO-LQH-01-007,综合态势,人车数量统计,固定,固定展示值,安保,723,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00019,DEMO-LQH-01-007,综合态势,人车数量统计,固定,固定展示值,访客,512,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00020,DEMO-LQH-01-007,综合态势,人车数量统计,固定,固定展示值,总人数,32159,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00057,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,35.8,%,区域=组团A；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00058,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,31,%,区域=组团A；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00059,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,43.2,%,区域=组团B；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00060,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,38.1,%,区域=组团B；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00061,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,29.4,%,区域=组团C；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00062,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,26.7,%,区域=组团C；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00063,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,99.2,%,区域=组团D；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00064,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,97.4,%,区域=组团D；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00065,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,95.5,%,区域=组团E；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00066,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,93.2,%,区域=组团E；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00067,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,92.1,%,区域=组团F；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00068,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,89.6,%,区域=组团F；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00069,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,97.8,%,区域=组团G；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00070,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,94.1,%,区域=组团G；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00071,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,46.8,%,区域=组团H；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00072,DEMO-LQH-01-009,综合态势,车位使用率,固定,固定展示值,使用率,42.1,%,区域=组团H；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00073,DEMO-LQH-01-010,综合态势,专题预警统计,固定,固定展示值,综合安防,51,个,类别=综合安防,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00074,DEMO-LQH-01-010,综合态势,专题预警统计,固定,固定展示值,便捷通行,68,个,类别=便捷通行,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00075,DEMO-LQH-01-010,综合态势,专题预警统计,固定,固定展示值,网络管理,74,个,类别=网络管理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00076,DEMO-LQH-01-010,综合态势,专题预警统计,固定,固定展示值,能源管理,60,个,类别=能源管理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00077,DEMO-LQH-01-010,综合态势,专题预警统计,固定,固定展示值,设备管理,87,个,类别=设备管理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00078,DEMO-LQH-01-010,综合态势,专题预警统计,固定,固定展示值,环境空间,23,个,类别=环境空间,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00079,DEMO-LQH-01-010,综合态势,专题预警统计,固定,固定展示值,资产管理,22,个,类别=资产管理,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00080,DEMO-LQH-01-011,综合态势,年度节能统计,固定,固定展示值,年度累计同比节能,15.9,个,固定指标,累计,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00205,DEMO-LQH-01-013,综合态势,智能预警统计,固定,固定展示值,待处理,324,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00206,DEMO-LQH-01-014,综合态势,资产分类统计,固定,固定展示值,实验仪器,477,台,类别=实验仪器,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00207,DEMO-LQH-01-014,综合态势,资产分类统计,固定,固定展示值,IT及计算机,563,台,类别=IT及计算机,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00208,DEMO-LQH-01-014,综合态势,资产分类统计,固定,固定展示值,办公设备,845,台,类别=办公设备,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00209,DEMO-LQH-01-014,综合态势,资产分类统计,固定,固定展示值,其他配套,316,台,类别=其他配套,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00210,DEMO-LQH-02-002,综合安防,安防告警,固定,固定展示值,枪机,926,件,设备类型=枪机,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00211,DEMO-LQH-02-002,综合安防,安防告警,固定,固定展示值,球机,419,件,设备类型=球机,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00212,DEMO-LQH-02-002,综合安防,安防告警,固定,固定展示值,筒机,1015,件,设备类型=筒机,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00213,DEMO-LQH-02-002,综合安防,安防告警,固定,固定展示值,半球,19090,件,设备类型=半球,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00214,DEMO-LQH-02-003,综合安防,安防告警,固定,固定展示值,已处理,109,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00215,DEMO-LQH-02-004,综合安防,安防告警,固定,固定展示值,已执行,259,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00216,DEMO-LQH-02-004,综合安防,安防告警,固定,固定展示值,总次数,482,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00217,DEMO-LQH-02-004,综合安防,安防告警,固定,固定展示值,机器人执行率,95.9,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00218,DEMO-LQH-02-005,综合安防,视频设备状态,固定,固定展示值,离线数,8,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00219,DEMO-LQH-02-006,综合安防,安防告警,固定,固定展示值,告警平均响应速度,4.2,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00220,DEMO-LQH-02-007,综合安防,安防告警,固定,固定展示值,总数量,21450,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00221,DEMO-LQH-02-008,综合安防,安防告警,固定,固定展示值,组团E,13,件,区域=组团E,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00222,DEMO-LQH-02-008,综合安防,安防告警,固定,固定展示值,组团D,11,件,区域=组团D,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00223,DEMO-LQH-02-008,综合安防,安防告警,固定,固定展示值,组团A,10,件,区域=组团A,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00224,DEMO-LQH-02-008,综合安防,安防告警,固定,固定展示值,组团F,7,件,区域=组团F,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00225,DEMO-LQH-02-008,综合安防,安防告警,固定,固定展示值,组团C,6,件,区域=组团C,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00226,DEMO-LQH-02-009,综合安防,安防告警,固定,固定展示值,未处理,12,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00227,DEMO-LQH-02-010,综合安防,巡更管理,固定,固定展示值,已执行,200,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00228,DEMO-LQH-02-010,综合安防,巡更管理,固定,固定展示值,总次数,474,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00229,DEMO-LQH-02-010,综合安防,巡更管理,固定,固定展示值,视频巡更执行率,81,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00230,DEMO-LQH-02-011,综合安防,视频设备状态,固定,固定展示值,在线数,21442,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00231,DEMO-LQH-02-012,综合安防,安防工单,固定,固定展示值,工单平均响应速度,18.5,分钟,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00232,DEMO-LQH-02-013,综合安防,安防告警,固定,固定展示值,处理中,28,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00233,DEMO-LQH-02-013,综合安防,安防告警,固定,固定展示值,已完成,92,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00234,DEMO-LQH-02-013,综合安防,安防告警,固定,固定展示值,待处理,15,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00235,DEMO-LQH-02-013,综合安防,安防告警,固定,固定展示值,告警总数,135,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00236,DEMO-LQH-02-014,综合安防,安防工单,固定,固定展示值,工单总数,121,件,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00237,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 A,1682,个,区=组团 A,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00238,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 B,2734,个,区=组团 B,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00239,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 C,1051,个,区=组团 C,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00240,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 D,3365,个,区=组团 D,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00241,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 E,3575,个,区=组团 E,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00242,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 F,3365,个,区=组团 F,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00243,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 G,3154,个,区=组团 G,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00244,DEMO-LQH-02-015,综合安防,安防告警,固定,固定展示值,组团 H,2524,个,区=组团 H,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00245,DEMO-LQH-02-016,综合安防,安防告警,固定,固定展示值,视频巡更告警,47,个,告警类别=视频巡更告警,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00246,DEMO-LQH-02-016,综合安防,安防告警,固定,固定展示值,机器人巡更,35,个,告警类别=机器人巡更,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00247,DEMO-LQH-02-016,综合安防,安防告警,固定,固定展示值,涉水告警,26,个,告警类别=涉水告警,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00248,DEMO-LQH-02-016,综合安防,安防告警,固定,固定展示值,消防告警,15,个,告警类别=消防告警,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00249,DEMO-LQH-02-016,综合安防,安防告警,固定,固定展示值,其他告警,12,个,告警类别=其他告警,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00250,DEMO-LQH-03-001,便捷通行,人员通行,固定,固定展示值,工卡通行,18.1,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00251,DEMO-LQH-03-003,便捷通行,通行设备健康,固定,固定展示值,人行闸机健康度,98.5,%,类别=人行闸机,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00252,DEMO-LQH-03-003,便捷通行,通行设备健康,固定,固定展示值,车辆道闸健康度,96.2,%,类别=车辆道闸,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00253,DEMO-LQH-03-003,便捷通行,通行设备健康,固定,固定展示值,门禁终端健康度,99.1,%,类别=门禁终端,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00254,DEMO-LQH-03-003,便捷通行,通行设备健康,固定,固定展示值,车位感知健康度,94.7,%,类别=车位感知,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00255,DEMO-LQH-03-004,便捷通行,停车与车辆,固定,固定展示值,普通车位数,10206,位,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00256,DEMO-LQH-03-004,便捷通行,停车与车辆,固定,固定展示值,车位使用率,90.2,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00257,DEMO-LQH-03-004,便捷通行,停车与车辆,固定,固定展示值,新能源车位数,1024,辆,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00258,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,35.8,%,区域=组团A；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00259,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,31,%,区域=组团A；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00260,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,43.2,%,区域=组团B；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00261,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,38.1,%,区域=组团B；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00262,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,29.4,%,区域=组团C；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00263,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,26.7,%,区域=组团C；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00264,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,99.2,%,区域=组团D；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00265,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,97.4,%,区域=组团D；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00266,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,95.5,%,区域=组团E；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00267,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,93.2,%,区域=组团E；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00268,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,92.1,%,区域=组团F；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00269,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,89.6,%,区域=组团F；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00270,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,97.8,%,区域=组团G；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00271,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,94.1,%,区域=组团G；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00272,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,46.8,%,区域=组团H；车位类型=普通车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00273,DEMO-LQH-03-005,便捷通行,停车与车辆,固定,固定展示值,使用率,42.1,%,区域=组团H；车位类型=新能源车位,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00274,DEMO-LQH-03-006,便捷通行,停车与车辆,固定,固定展示值,新能源车辆,5088,辆,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00275,DEMO-LQH-03-007,便捷通行,停车与车辆,固定,固定展示值,在园车辆数,8039,辆,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00276,DEMO-LQH-03-008,便捷通行,通行告警,固定,固定展示值,人行体验,98.5,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00277,DEMO-LQH-03-009,便捷通行,停车与车辆,固定,固定展示值,燃油车辆,2951,辆,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00278,DEMO-LQH-03-010,便捷通行,停车与车辆,固定,固定展示值,员工车辆,7155,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00279,DEMO-LQH-03-011,便捷通行,通行告警,固定,固定展示值,员工,30256,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00280,DEMO-LQH-03-011,便捷通行,通行告警,固定,固定展示值,安保,723,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00281,DEMO-LQH-03-011,便捷通行,通行告警,固定,固定展示值,访客,512,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00282,DEMO-LQH-03-011,便捷通行,通行告警,固定,固定展示值,总人数,32159,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00283,DEMO-LQH-03-012,便捷通行,停车与车辆,固定,固定展示值,访客车辆,884,人,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00284,DEMO-LQH-03-013,便捷通行,通行告警,固定,固定展示值,车行体验,96.2,辆,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00285,DEMO-LQH-03-014,便捷通行,通行告警,固定,固定展示值,新能源汽车占比,72,%,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00286,DEMO-LQH-03-015,便捷通行,人员通行,固定,固定展示值,无感通行,81.9,个,固定指标,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00287,DEMO-LQH-03-016,便捷通行,通行告警,固定,固定展示值,车辆违停,18,件,类别=车辆违停,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00288,DEMO-LQH-03-016,便捷通行,通行告警,固定,固定展示值,权限逾期,11,件,类别=权限逾期,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00289,DEMO-LQH-03-016,便捷通行,通行告警,固定,固定展示值,设备故障,4,件,类别=设备故障,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00290,DEMO-LQH-03-016,便捷通行,通行告警,固定,固定展示值,其它,2,件,类别=其它,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00291,DEMO-LQH-03-017,便捷通行,通行告警,固定,固定展示值,组团D,10,件,区域=组团D,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00292,DEMO-LQH-03-017,便捷通行,通行告警,固定,固定展示值,组团E,9,件,区域=组团E,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00293,DEMO-LQH-03-017,便捷通行,通行告警,固定,固定展示值,组团F,8,件,区域=组团F,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00294,DEMO-LQH-03-017,便捷通行,通行告警,固定,固定展示值,组团G,5,件,区域=组团G,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00295,DEMO-LQH-03-017,便捷通行,通行告警,固定,固定展示值,组团B,3,件,区域=组团B,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00296,DEMO-LQH-03-018,便捷通行,人员通行,固定,固定展示值,内部员工,25727,个,人员类别=内部员工,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00297,DEMO-LQH-03-018,便捷通行,人员通行,固定,固定展示值,合作伙伴,4685,个,人员类别=合作伙伴,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00298,DEMO-LQH-03-018,便捷通行,人员通行,固定,固定展示值,物流人员,1235,个,人员类别=物流人员,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00299,DEMO-LQH-03-018,便捷通行,人员通行,固定,固定展示值,访客人员,512,个,人员类别=访客人员,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00300,DEMO-LQH-04-001,资产管理,资产类别统计,固定,固定展示值,实验仪器,14615,台,类别=实验仪器,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00301,DEMO-LQH-04-001,资产管理,资产类别统计,固定,固定展示值,IT及计算机,11965,台,类别=IT及计算机,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00302,DEMO-LQH-04-001,资产管理,资产类别统计,固定,固定展示值,办公设备,6755,台,类别=办公设备,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00303,DEMO-LQH-04-001,资产管理,资产类别统计,固定,固定展示值,其他配套,5288,台,类别=其他配套,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
LQH-F-00304,DEMO-LQH-04-002,资产管理,低效资产区域,固定,固定展示值,组团D,45,台,区域=组团D,当期,SYNTHETIC_DEMO_DO_NOT_USE_AS_FACT
